name,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,06/30/2015,12/31/2014,06/30/2014,12/31/2013,06/30/2013,12/31/2012,06/30/2012,12/31/2011,06/30/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009,06/30/2009,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001
		CurrentProvisions,"1,439,000,000",,"675,000,000",,"1,180,000,000",,"462,000,000",,"560,000,000",,"456,000,000",,"1,205,000,000",,,,,,"560,166,000",,,"816,379,000",,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,"630,000,000",,"683,000,000",,"837,000,000",,"614,000,000",,"765,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"14,015,000,000","20,387,000,000","7,042,000,000","4,804,000,000","13,892,000,000","23,543,000,000","19,678,000,000","34,060,000,000","33,585,000,000","24,889,000,000","31,180,000,000","27,702,000,000","49,841,000,000","45,965,000,000","28,830,000,000","25,643,000,000","19,919,000,000","21,991,000,000","21,630,674,000",,"14,458,305,000","122,092,000","49,849,000",,,"8,379,057","17,801,692.5","834,630,078.48","825,927,123.5","20,397,361.6","24,362,595.45","20,728,487.6","20,620,871.65","9,983,448.9","297,514,195.2","178,594,161.3","1,231,827,972.48","1,258,530,674.7"
			CurrentDebt,"12,364,000,000","17,386,000,000","6,819,000,000","4,589,000,000","13,892,000,000","23,543,000,000","19,678,000,000","34,060,000,000","33,398,000,000","24,889,000,000","770,000,000","27,702,000,000",,"45,965,000,000","1,256,000,000","25,643,000,000","19,919,000,000","21,991,000,000","21,630,674,000",,"14,458,305,000","122,092,000","49,849,000",,,"8,379,057","17,801,692.5","834,630,078.48","825,927,123.5","20,397,361.6","24,362,595.45","20,728,487.6","20,620,871.65","9,983,448.9","297,514,195.2","178,594,161.3","1,231,827,972.48","1,258,530,674.7"
				OtherCurrentBorrowings,"12,364,000,000","17,386,000,000","6,819,000,000","4,589,000,000","13,892,000,000","23,543,000,000","19,678,000,000","34,060,000,000","33,398,000,000","24,889,000,000","770,000,000","27,702,000,000",,"45,965,000,000","1,256,000,000",,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"1,425,000,000","3,001,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"2,231,000,000","2,085,000,000","2,036,000,000","2,726,000,000","3,096,000,000",,"3,272,000,000",,"1,188,000,000",,"67,000,000",,"227,000,000",,,,,,"2,016,858,000",,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"2,231,000,000","2,085,000,000","2,036,000,000","2,726,000,000","3,096,000,000",,"3,272,000,000",,"1,188,000,000",,"67,000,000",,"227,000,000",,,,,,"2,016,858,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,"426,000,000","389,000,000",,"24,000,000","316,000,000","292,000,000","220,000,000","232,000,000",,,,,,,,"1,361,265,000",,"20,292,806,964.21","12,066,348,517","12,845,178,019.5","6,875,617,170","12,586,900,877.76","6,334,153,233.5","9,103,382,217.2","4,300,490,646.85","5,459,026,017.5","5,315,987,863.65","4,109,207,434.8","4,177,168,836.48","2,572,440,438.6","2,568,191,539.2","4,601,724,688.6"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"218,256,000,000","188,435,000,000","191,172,000,000","188,048,000,000","175,832,000,000","179,763,000,000","188,220,000,000","186,015,000,000","193,941,000,000","195,796,000,000","179,751,000,000","175,952,000,000","150,905,000,000","158,630,000,000","63,853,000,000","65,104,000,000","51,192,000,000","45,899,000,000","42,750,210,000","43,093,000,000","41,832,101,000","37,290,770,000","32,156,965,000","23,821,992,572.43","24,111,417,335.96","33,855,648,240","32,944,874,160","29,716,870,100.28","27,554,193,473","27,341,520,840.1","26,956,727,593.65","17,343,452,727.2","17,461,250,801.7","17,909,636,796.45","13,392,650,337.6","14,675,342,565","6,617,414,371.2","6,732,135,945.6"
