name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
			InventoriesAdjustmentsAllowances,"-10,700,000","-9,800,000","-8,200,000","-7,200,000","-21,200,000","-64,600,000","-58,900,000","-31,500,000","-26,400,000","-25,800,000","-6,600,000","-19,500,000","-12,600,000","-8,500,000","-63,600,000","-89,900,000","-82,200,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,"7,500,000","4,100,000","7,100,000","15,000,000","41,100,000","47,600,000","46,000,000","39,000,000",,,,"34,500,000","36,400,000",,,,,"435,200,000","391,100,000",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,"0","35,500,000","31,400,000","72,000,000","49,900,000","45,300,000","20,900,000","16,300,000","14,400,000","43,500,000","6,800,000","15,400,000","15,600,000","19,200,000","14,700,000","11,500,000","9,800,000","40,600,000","52,500,000","25,900,000","49,400,000","26,900,000","35,900,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,"0","35,500,000","31,400,000","72,000,000","49,900,000","45,300,000","20,900,000","16,300,000","14,400,000","43,500,000","6,800,000","15,400,000","15,600,000","19,200,000","14,700,000","11,500,000","9,800,000","40,600,000","52,500,000","25,900,000","49,400,000","26,900,000","35,900,000",,,,,,,,
		AssetsHeldForSaleCurrent,"6,600,000","279,500,000","306,100,000","0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,,,"200,000","2,400,000","6,600,000","5,700,000","5,900,000","1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,400,000","700,000","600,000","3,000,000","13,200,000","5,500,000","3,600,000","1,200,000","38,600,000","35,300,000","55,200,000","43,700,000","26,800,000","187,100,000","82,200,000","78,400,000","85,500,000","-349,800,000","-325,300,000","121,000,000","88,000,000","124,900,000","43,500,000","27,300,000","25,500,000","29,600,000",,,,,,,,
	TotalNonCurrentAssets,"1,248,900,000","1,120,700,000","1,224,600,000","1,351,800,000","1,811,100,000","1,794,700,000","2,032,600,000","1,834,400,000","1,785,400,000","1,901,700,000","1,971,000,000","2,090,300,000","3,148,900,000","2,799,300,000","3,044,700,000","3,127,200,000","3,289,000,000","3,248,900,000","2,920,100,000","2,930,600,000","3,134,600,000","3,152,100,000","1,775,500,000","1,571,100,000","1,427,100,000","1,541,500,000",,,,,,,,
		NetPPE,"559,900,000","501,000,000","499,900,000","669,600,000","1,096,300,000","1,062,400,000","1,107,200,000","1,005,000,000","902,900,000","854,900,000","929,200,000","954,200,000","1,012,800,000","966,200,000","1,145,300,000","1,208,800,000","1,267,300,000","1,303,700,000","1,283,700,000","1,253,500,000","1,439,100,000","1,502,000,000","972,200,000","964,000,000","878,200,000","1,069,900,000",,,,,,,,
			GrossPPE,"1,007,400,000","913,900,000","861,300,000","1,115,100,000","1,814,900,000","1,706,700,000","1,746,900,000","1,588,800,000","1,409,300,000","1,337,700,000","1,319,200,000","1,233,100,000","1,171,700,000","995,000,000","2,707,300,000","2,749,500,000","2,702,100,000","1,303,700,000","1,283,700,000","1,253,500,000","1,439,100,000","1,502,000,000","972,200,000","964,000,000","878,200,000","1,069,900,000",,,,,,,,
				Properties,"0","0","0","0","0","0","0","0","0","32,200,000","30,600,000","36,200,000","0","0","0","0","0",,,,,,,,,,,,,,,,,
				LandAndImprovements,"32,600,000","32,400,000","32,500,000","38,000,000","72,000,000","73,200,000","105,400,000","111,600,000","112,200,000","119,900,000","131,500,000","129,000,000","131,700,000","124,200,000","69,400,000","77,000,000","105,400,000",,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"239,500,000","232,500,000","224,600,000","261,200,000","381,300,000","373,300,000","380,100,000","318,400,000","302,400,000","298,400,000","303,800,000","296,500,000","287,600,000","259,700,000","652,000,000","657,400,000","659,700,000",,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"658,200,000","599,200,000","558,000,000","725,100,000","1,227,100,000","1,117,000,000","1,106,500,000","952,200,000","859,600,000","827,000,000","787,500,000","722,800,000","664,600,000","512,300,000","1,904,400,000","1,937,300,000","1,893,700,000",,,,,,,,,,,,,,,,,
				OtherProperties,"35,300,000",,,,,,,,,,,,"36,200,000","29,100,000",,,,,,,,,,,,,,,,,,,,
