name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
CommonStockEquity,"2,074,900,000","1,822,400,000","1,596,100,000","1,426,400,000","1,362,100,000","1,214,900,000","1,201,000,000","703,200,000","694,000,000","4,505,000,000","3,878,300,000","3,059,900,000","3,944,800,000","2,864,800,000","2,723,400,000","2,343,000,000","1,847,700,000","1,137,300,000","1,375,800,000","1,211,200,000","1,099,100,000","1,300,000,000","822,300,000","799,200,000","627,000,000","4,804,000,000"
CapitalLeaseObligations,"95,900,000","100,000","300,000","200,000","500,000","400,000","500,000",,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"979,600,000","775,100,000","511,200,000","453,300,000","368,400,000","464,600,000","419,700,000","-84,900,000","96,000,000","-538,000,000","-504,600,000","-1,387,900,000","-644,900,000","314,800,000","254,400,000","-411,400,000","143,800,000","-487,600,000","-34,200,000","-161,800,000","-106,900,000","434,700,000","-294,200,000","449,400,000","264,000,000","5,459,000,000"
WorkingCapital,"887,100,000","773,000,000","579,300,000","535,600,000","544,600,000","860,800,000","832,900,000","735,100,000","928,000,000","1,649,000,000","1,640,200,000","33,700,000","-526,500,000","588,300,000","211,600,000","-116,600,000","418,900,000","-29,700,000","-437,800,000","-726,400,000","-482,100,000","231,600,000","-1,167,500,000","-249,300,000","-159,000,000",
InvestedCapital,"2,161,400,000","1,938,500,000","1,759,400,000","1,640,500,000","1,607,300,000","1,216,000,000","1,240,300,000","703,200,000","700,000,000","5,870,000,000","5,384,100,000","5,206,800,000","7,510,800,000","3,962,200,000","3,991,100,000","3,615,000,000","2,450,100,000","1,929,100,000","2,349,200,000","2,249,500,000","2,187,200,000","2,067,100,000","3,005,300,000","2,218,000,000","2,234,000,000","4,804,000,000"
TangibleBookValue,"979,600,000","775,100,000","511,200,000","453,300,000","368,400,000","464,600,000","419,700,000","-84,900,000","96,000,000","-538,000,000","-504,600,000","-1,387,900,000","-644,900,000","314,800,000","254,400,000","-411,400,000","143,800,000","-487,600,000","-34,200,000","-161,800,000","-106,900,000","434,700,000","-294,200,000","449,400,000","264,000,000","4,804,000,000"
TotalDebt,"182,400,000","116,200,000","163,600,000","214,300,000","245,700,000","1,500,000","39,800,000",,"6,000,000","1,365,000,000","1,505,800,000","2,146,900,000","3,566,000,000","1,097,400,000","1,267,700,000","1,272,000,000","602,400,000","791,800,000","973,400,000","1,038,300,000","1,088,100,000","767,100,000","2,183,000,000","1,418,800,000","1,607,000,000",
NetDebt,,,,,,,,,,"333,000,000","290,200,000","1,182,000,000","1,726,000,000","160,300,000","816,700,000","1,009,100,000","188,200,000","589,600,000","852,100,000","949,600,000","906,400,000",,"1,990,800,000","1,296,900,000","1,513,000,000",
ShareIssued,"87,800,000","87,600,000","88,200,000","88,400,000","104,500,000","104,300,000","104,000,000","104,000,000","104,100,000","103,450,000","91,450,000","90,900,000","90,745,060","91,508,184","92,318,960","92,289,113","92,271,319","91,824,515","88,786,701","87,914,595","87,915,000","95,968,000","118,446,000","118,437,000","117,069,000","105,565,410"
OrdinarySharesNumber,"87,800,000","87,600,000","88,200,000","88,400,000","89,500,000","91,000,000","91,000,000","92,100,000","93,500,000","92,000,000","91,450,000","90,900,000","90,745,060","91,508,184","92,318,960","92,289,113","92,271,319","91,824,515","88,786,701","87,914,595","87,915,000","95,968,000","118,446,000","118,437,000","117,069,000","105,565,410"
TreasurySharesNumber,,,,,"15,000,000","13,300,000","13,000,000","11,900,000","10,600,000","11,450,000",,,,,,,,,,,,,,,,
