name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2009,09/30/2009,06/30/2009,03/31/2009
EBIT,"737,000,000","-23,000,000","236,000,000","253,000,000","271,000,000","73,000,000","214,000,000","194,000,000","1,011,000,000","78,000,000","205,000,000","178,000,000","194,000,000","58,000,000","-289,000,000","173,000,000","123,000,000","71,000,000","228,000,000","180,000,000","387,290,000","35,632,000","328,408,000","101,817,000","253,133,000","65,861,000","272,177,000","409,900,000","403,190,000","176,466,000","497,006,000","548,029,000","358,852,000","275,886,000","302,108,000","201,375,000","246,861,000"
EBITDA,"1,180,000,000"
ReconciledCostOfRevenue,"3,454,000,000","770,000,000","853,000,000","917,000,000","914,000,000","903,000,000","913,000,000","913,000,000","973,000,000","932,000,000","970,000,000","907,000,000","937,000,000","922,000,000","922,000,000","960,000,000","899,000,000","894,000,000","891,000,000","860,000,000","956,569,000","889,703,000","982,003,000","993,447,000","1,049,420,000","889,385,000","938,540,000","1,052,176,000","981,471,000","956,727,000","990,873,000","1,066,408,000","901,054,000","716,073,000","771,792,000","700,516,000","529,405,000"
ReconciledDepreciation,"443,000,000","113,000,000","110,000,000","109,000,000","111,000,000","107,000,000","94,000,000","105,000,000","97,000,000","90,000,000","111,000,000","95,000,000","94,000,000","95,000,000","113,000,000","99,000,000","99,000,000","129,000,000","90,000,000","97,000,000","114,279,000","163,431,000","86,701,000","91,243,000","86,103,000","102,086,000","81,727,000","81,428,000","82,500,000","51,456,000","80,749,000","71,574,000","83,284,000",,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"475,000,000","48,000,000","130,000,000","158,000,000","139,000,000","82,000,000","129,000,000","101,000,000","928,000,000","155,000,000","84,000,000","57,000,000","68,000,000","32,000,000","-340,000,000","120,000,000","66,000,000","96,000,000","121,000,000","75,000,000","216,744,000","85,324,000","179,729,000","67,242,000","131,260,000","119,202,000","77,850,000","316,173,000","305,348,000","208,552,000","395,067,000","407,647,000","289,257,000","202,744,000","256,607,000","152,316,000","158,753,000"
TotalUnusualItemsExcludingGoodwill,"23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"914,000","1,712,000","116,000","882,000"
TotalUnusualItems,"23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"914,000","1,712,000","116,000","882,000"
NormalizedEBITDA,"1,157,000,000","90,000,000","346,000,000","362,000,000","382,000,000","180,000,000","308,000,000","299,000,000","1,108,000,000","168,000,000","316,000,000","273,000,000","288,000,000","153,000,000","-176,000,000","272,000,000","222,000,000","200,000,000","318,000,000","277,000,000","501,569,000","199,063,000","415,109,000","193,060,000","339,236,000","167,947,000","353,904,000","491,328,000","485,690,000","227,922,000","577,755,000","619,603,000","442,136,000","274,972,000","300,396,000","201,259,000","245,979,000"
TaxRateForCalcs,"0.23","0.238","0.207","0.225","0.266","0.184","0.262","0.169","0.046","0.08","0.24","0.24","0.29","0.25","0.265","0.043","0.27","0.2","0.22","0.25","0.27","0.295","0.271","0.265","0.265","0.04","0.25","0.178","0.152","0.25","0.167","0.208","0.13","0.204","0.024","0.178","0.33"
TaxEffectOfUnusualItems,"5,290,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","186,295.445","40,360.551","20,668.305","291,256.168"
