name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
		GainLossonSaleofAssets,,"29,000","0","-126,000","265,000","499,000","4,354,000","-6,565,000","3,347,000","2,024,000","21,793,000","-13,810,000","-225,371,000","3,851,000","4,118,000","15,206,000","27,618,000","38,094,000","29,185,000","13,392,000","17,260,000","8,682,000","18,700,000","3,200,000","3,800,000","1,200,000","-1,100,000","900,000","1,000,000","500,000","800,000","400,000",,
			GainOnSaleOfSecurity,,"29,000","0","-126,000","265,000","499,000","4,354,000","-6,565,000","3,347,000","2,024,000","21,793,000","-13,810,000","-4,034,000","3,851,000","1,289,000","3,633,000","14,313,000","18,574,000","23,377,000","10,621,000","8,445,000","4,248,000","15,400,000","3,200,000","3,800,000","1,200,000","-1,100,000","200,000","1,000,000","500,000",,"400,000",,
			GainonSaleofInvestmentProperty,,,,,,,,,,,"10,517,000","-2,234,000","-221,337,000",,"2,829,000","11,573,000","13,305,000","19,520,000","5,808,000","2,771,000","8,815,000","4,434,000","3,300,000",,,,,"700,000",,,"800,000",,,
		OtherNonInterestIncome,"35,600,000","32,278,000","36,479,000","26,400,000","38,591,000","23,573,000","18,917,000","11,887,000","10,929,000","10,300,000","16,396,000","9,084,000","8,309,000","27,387,000","56,895,000","63,329,000","85,772,000","79,646,000","76,246,000","20,761,000","17,668,000","17,012,000","12,300,000","5,100,000","3,600,000","6,700,000","2,300,000","800,000","400,000","300,000","200,000","300,000",,
CreditLossesProvision,"-105,200,000","-37,800,000","-42,000,000","-40,900,000","-56,350,000","-49,300,000","-37,250,000","-33,500,000","-21,500,000","-22,500,000","-115,000,000","-303,000,000","-186,300,000","-67,750,000","-11,000,000","-9,500,000","-18,000,000","-25,000,000","-29,000,000","-14,400,000","-11,800,000","-9,000,000","-6,800,000","-15,800,000","-4,000,000","-3,100,000","-2,900,000","-4,000,000","-3,000,000","-2,000,000","-9,600,000","-2,400,000",,
NonInterestExpense,"718,607,000","715,950,000","705,616,000","661,075,000","623,191,000","554,554,000","502,138,000","498,059,000","501,804,000","520,499,000","516,498,000","507,394,000","477,657,000","459,422,000","474,948,000","455,570,000","447,137,000","377,982,000","328,323,000","308,932,000","267,130,000","244,461,000","197,800,000","158,500,000","97,200,000","79,600,000","73,100,000","46,500,000","31,600,000","19,600,000","13,900,000","12,700,000",,
	OccupancyAndEquipment,"164,393,000","162,464,000","157,340,000","149,954,000","140,176,000","128,862,000","109,318,000","109,120,000","112,341,000","114,587,000","118,489,000","116,448,000","123,141,000","109,149,000","105,419,000","93,520,000","73,446,000","61,841,000","55,773,000","53,521,000","51,076,000","43,194,000","33,700,000","24,900,000","18,400,000","6,400,000","11,100,000","7,800,000","4,600,000","2,700,000","2,600,000","2,400,000",,
		NetOccupancyExpense,"56,970,000","57,181,000","59,463,000","60,490,000","60,294,000","48,836,000","47,325,000","48,794,000","50,131,000","53,866,000","55,634,000","55,522,000","61,986,000",,,,,,,,,,,,,,,,,,,,,
		Equipment,"107,423,000","105,283,000","97,877,000","89,464,000","79,882,000","80,026,000","61,993,000","60,326,000","62,210,000","60,721,000","62,855,000","60,926,000","61,155,000",,,,,,,,,,,,,,,,,,,,,
	ProfessionalExpenseAndContractServicesExpense,"20,995,000","21,380,000","20,300,000","16,858,000","14,801,000","11,156,000","8,296,000","9,532,000","11,348,000","11,203,000","14,721,000",,"15,758,000",,,,,,,,,,,,,,,,,,,,,
