name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,09/30/2007
			Payables,"271,704,000","269,450,000","276,330,000","281,654,000","275,303,000","268,458,000","272,331,000","240,596,000","209,132,000","200,098,000","222,854,000","239,447,000","235,654,000","219,331,000","212,726,000","211,046,000","160,481,000","131,113,000","132,187,000","128,839,000","114,460,000","115,441,000","111,712,000","101,672,000","111,064,000","94,405,000","96,750,000","84,127,000","80,260,000","80,075,000","154,761,000","95,176,000","149,881,000","66,256,000","97,730,000","101,748,000","108,651,000","110,555,000","115,587,000","111,433,000","101,991,000","86,305,000","68,064,000","55,858,000","62,936,000"
				AccountsPayable,"240,028,000","234,929,000","252,147,000","257,617,000","256,282,000","248,253,000","249,080,000","220,159,000","193,374,000","182,166,000","203,685,000","215,262,000","210,105,000","187,306,000","179,741,000","172,052,000","146,445,000","114,911,000","117,978,000","115,319,000","103,053,000","98,651,000","101,783,000","94,853,000","101,531,000","88,025,000","90,328,000","77,139,000","74,329,000","73,744,000","91,919,000","86,000,000","75,274,000","57,052,000","85,791,000","92,563,000","97,066,000","100,812,000","108,445,000","102,977,000","94,049,000","81,811,000","65,414,000","53,577,000","47,285,000"
				TotalTaxPayable,"2,857,000","3,137,000","2,534,000","1,801,000","2,651,000","2,568,000","2,389,000","709,000","298,000","1,185,000","2,469,000","1,976,000","2,209,000","2,491,000","3,077,000","2,010,000","1,323,000","1,757,000","2,120,000","1,470,000","979,000","1,410,000","1,484,000","1,024,000","699,000","580,000","1,985,000","1,825,000","1,171,000","724,000","584,000","353,000","820,000","1,046,000","2,515,000","2,914,000","3,628,000","3,652,000","3,518,000","2,521,000","1,833,000","1,506,000","1,270,000","864,000","1,367,000"
					IncomeTaxPayable,"2,857,000","3,137,000","2,534,000","1,801,000","2,651,000","2,568,000","2,389,000","709,000","298,000","1,185,000","2,469,000","1,976,000","2,209,000","2,491,000","3,077,000","2,010,000","1,323,000","1,757,000","2,120,000","1,470,000","979,000","1,410,000","1,484,000","1,024,000","699,000","580,000","1,985,000","1,825,000","1,171,000","724,000","584,000","353,000","820,000","1,046,000","2,515,000","2,914,000","3,628,000","3,652,000","3,518,000","2,521,000","1,833,000","1,506,000","1,270,000","864,000","1,367,000"
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,198,000",,"61,198,000",,,,,,,,,,,,
				OtherPayable,"28,819,000","31,384,000","21,649,000","22,236,000","16,370,000","17,637,000","20,862,000","19,728,000","15,460,000","16,747,000","16,700,000","22,209,000","23,340,000","29,534,000","29,908,000","36,984,000","12,713,000","14,445,000","12,089,000","12,050,000","10,428,000","15,380,000","8,445,000","5,795,000","8,834,000","5,800,000","4,437,000","5,163,000","4,760,000","5,607,000","5,060,000","8,823,000","12,589,000","8,158,000","9,424,000","6,271,000","7,957,000","6,091,000","3,624,000","5,935,000","6,109,000","2,988,000","1,380,000","1,417,000","14,284,000"
			CurrentAccruedExpenses,"39,757,000","27,280,000","30,727,000","25,507,000","26,672,000","25,433,000","29,761,000","22,489,000","25,072,000","28,818,000","29,396,000","23,079,000","28,161,000","25,077,000","18,879,000","20,372,000","18,463,000","22,040,000","24,915,000","16,209,000","17,097,000","15,140,000","16,157,000","12,957,000","13,054,000","11,036,000","11,128,000","9,341,000","10,696,000","8,512,000","2,619,000","7,811,000","4,412,000","4,575,000","5,116,000","3,986,000","12,081,000","10,784,000","9,307,000","7,462,000","7,672,000","7,153,000","7,316,000","6,221,000","13,603,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,788,000",,"6,997,000","5,697,000","7,374,000","7,677,000",,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"14,049,000","14,290,000","14,098,000","3,648,000","3,667,000","3,659,000","3,684,000","3,701,000","52,955,000","52,920,000","47,764,000","48,746,000","48,999,000","38,649,000","37,638,000","24,600,000","50,000,000","54,000,000","36,000,000","36,000,000","36,000,000","6,000,000","6,000,000","6,000,000","9,660,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","6,368,000","4,898,000","4,398,000","4,968,000","5,468,000","5,508,000","6,008,000","6,039,000","6,646,000","7,252,000","7,933,000","6,593,000"
			CurrentDebt,"12,156,000","12,156,000","12,157,000","3,250,000","3,250,000","3,250,000","3,250,000","3,250,000","52,464,000","52,443,000","47,421,000","48,402,000","48,658,000","38,287,000","37,516,000","24,600,000","50,000,000","54,000,000","36,000,000","36,000,000","36,000,000","6,000,000","6,000,000","6,000,000","9,660,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","6,368,000","4,898,000","4,398,000","4,968,000","5,468,000","5,508,000","6,008,000","6,039,000","6,646,000","7,252,000","7,933,000","6,593,000"
